"","Country","Temperature","Humidity","Windspeed"
"1","Albania",3.69781752183946,0.428533659555654,1.20137896775441
"2","Andorra",-1.51909892944875,0.226364409159504,4.21600229270318
"3","Austria",0.398784097668749,0.300110562219186,1.7361231398212
"4","Belgium",3.4415390834674,0.488012878095695,3.00079340764722
"5","Bosnia Herzegovina",2.11698043712584,0.362786418639738,1.42463532687397
"6","Croatia",2.96956924810291,0.368192465460437,1.45151794148229
"7","Czech Republic",1.16644389292678,0.342819582295739,2.32225495923646
"8","Denmark",1.63835575367336,0.41181388917705,3.66820512005046
"9","Estonia",-0.878157664664476,0.200719259271675,1.68242042847626
"10","Finland",-2.43985674534291,0.134432334297308,1.18960160044928
"11","France",3.44681241844101,0.419104534384428,2.3105981012855
"12","Germany",2.15312524669811,0.417753466949184,2.57206423764032
"13","Gibraltar (UK)",NA,NA,NA
"14","Greece",4.66518919499518,0.455266065797305,1.8200401220419
"15","Guernsey (UK)",NA,NA,NA
"16","Hungary",2.45616272547653,0.374556499596399,1.73636605991605
"17","Ireland",3.40248461395246,0.434009914176865,2.75855874900758
"18","Isle of Man (UK)",3.8862873307708,0.549434029841735,5.82704060350368
"19","Italy",4.38045660867571,0.479220456786234,1.72027168132049
"20","Jersey (UK)",6.00945785199895,0.675896371439392,5.95859664201736
"21","Latvia",-0.610252573985506,0.224430651480695,1.70744835947305
"22","Liechtenstein",-0.173287376071893,0.294102571641698,2.0164883962332
"23","Lithuania",-0.353592581171629,0.281414049335521,2.12115783162506
"24","Luxembourg",2.3818574384317,0.405005753402616,2.45486309552788
"25","Macedonia",2.07617781221275,0.324394347366865,1.42361534425192
"26","Malta",11.0720664926604,0.931133654947374,3.52123413787169
"27","Monaco",8.43130254745483,0.774296209216118,4.10724782943726
"28","Montenegro",1.58994637524275,0.333117874567815,1.59897697515881
"29","Netherlands",3.55136913398965,0.527447236805253,3.53403530820433
"30","Norway",-1.62435487590407,0.157107874312789,1.76858310067064
"31","Poland",1.00557311691144,0.342711864766728,2.22791803097935
"32","Portugal",6.14418864606009,0.550531013251537,1.7775155003018
"33","San Marino",5.2973186638776,0.563344424331889,1.99646125447516
"34","Serbia",2.43398742625047,0.391113732074519,1.8294750544147
"35","Slovakia",1.06567441978502,0.32752868566771,1.94057701147469
"36","Slovenia",1.62732236254044,0.33554539258261,1.14843109622482
"37","Spain",4.33353482888492,0.407232199004382,1.73431779564986
"38","Sweden",-1.60664256227606,0.164520519650455,1.32360962382038
"39","Switzerland",0.203171604979277,0.291588398131995,1.89209381269981
"40","United Kingdom",3.08689402099791,0.449727002311707,3.37353385873831
"41","Armenia",-1.12411055678019,0.246249195609599,1.40704284372324
"42","Azerbaijan",2.78880016057819,0.390187918446332,1.44342105772309
"43","Belarus",-0.689971415278544,0.250409733473881,1.89649266992599
"44","Bulgaria",2.31522880427974,0.354154813427908,1.73291607784995
"45","Faeroe Islands (Denmark)",2.11493271464226,0.403900542015977,5.50806552927868
"46","Georgia",1.10972410568745,0.285383191756631,1.20591302667842
"47","Iceland",-0.862773244341044,0.125382512693332,2.45507390839873
"48","Jan Mayen (Norway)",-2.94509793092223,0.15626866408569,5.09427630471248
"49","Moldova",1.29741655329298,0.346430591653952,2.14418199721631
"50","Romania",1.39541361647883,0.340266820925934,1.50057329474473
"51","Svalbard (Norway)",NA,NA,NA
"52","Turkey",2.38183125447637,0.348471282187089,1.43485080929969
"53","Ukraine",0.217005507999715,0.289831743359617,2.00237949516775
"54","Russia",-2.64787933226558,0.13455234706905,1.52924746054876
